"PC","Standard_deviations","Proportion_of_explained_variance","Cumulative_proportion_of_explained_variance"
"PC262",2.51778655332655,0.173962201037058,76.0085605785021
"PC263",2.51292128389904,0.173626043479488,76.1825227795392
"PC264",2.5046066646861,0.173051558935849,76.3561488230186
"PC265",2.50222525085243,0.172887019177092,76.5292003819545
"PC266",2.48948294719262,0.172006611269593,76.7020874011316
"PC267",2.47821036434861,0.171227751234645,76.8740940124012
"PC268",2.47373888554569,0.170918801973867,77.0453217636358
"PC269",2.47138036194172,0.170755843776794,77.2162405656097
"PC270",2.46491054558996,0.170308822764878,77.3869964093865
"PC271",2.46196391763413,0.170105230492866,77.5573052321514
"PC272",2.45030931424598,0.169299975394915,77.7274104626442
"PC273",2.4448125804689,0.168920187876743,77.8967104380391
"PC274",2.44078935604545,0.168642209993731,78.0656306259159
"PC275",2.43324215042502,0.168120748593568,78.2342728359096
"PC276",2.43041177392543,0.167925188519192,78.4023935845032
"PC277",2.41573463998273,0.166911096787622,78.5703187730224
"PC278",2.39873855301957,0.16573678092148,78.73722986981
"PC279",2.39820603889549,0.165699987759253,78.9029666507315
"PC280",2.3866029124413,0.16489828937294,79.0686666384907
"PC281",2.38165043621279,0.164556106409037,79.2335649278637
"PC282",2.3755506599189,0.164134652688698,79.3981210342727
"PC283",2.36900420188644,0.163682336249554,79.5622556869614
"PC284",2.36543844997739,0.163435966655742,79.725938023211
"PC285",2.35759183618441,0.162893818154587,79.8893739898667
"PC286",2.35037434853878,0.162395138059908,80.0522678080213
"PC287",2.34514440134519,0.162033783709238,80.2146629460812
"PC288",2.34002266103983,0.16167990573039,80.3766967297904
"PC289",2.33190401451529,0.161118961588011,80.5383766355208
"PC290",2.32108984924834,0.160371775139767,80.6994955971088
"PC291",2.31840913586603,0.160186555785203,80.8598673722486
"PC292",2.31479023303472,0.159936513818364,81.0200539280338
"PC293",2.30344607108124,0.15915270814598,81.1799904418522
"PC294",2.29789368097163,0.1587690751477,81.3391431499982
"PC295",2.28900932930573,0.158155225904385,81.4979122251459
"PC296",2.28125126343083,0.15761919547178,81.6560674510502
"PC297",2.27841129117443,0.157422972394825,81.813686646522
"PC298",2.26249225927352,0.156323073825503,81.9711096189168
"PC299",2.25940318152259,0.156109639225968,82.1274326927423
"PC300",2.25134611289148,0.155552949703926,82.2835423319683
"PC301",2.24793731335441,0.155317424468644,82.4390952816722
"PC302",2.2465122265952,0.155218960510699,82.5944127061409
"PC303",2.23394436033933,0.154350605060423,82.7496316666516
"PC304",2.22860830532241,0.153981919369267,82.903982271712
"PC305",2.21632071863467,0.153132929361433,83.0579641910813
"PC306",2.21316613248113,0.152914968569679,83.2110971204427
"PC307",2.20195299188336,0.15214021559614,83.3640120890124
"PC308",2.19595674055478,0.151725914758083,83.5161523046085
"PC309",2.19226625920476,0.151470927194627,83.6678782193666
"PC310",2.18207061726977,0.150766476569274,83.8193491465612
"PC311",2.17807055008681,0.150490098696605,83.9701156231305
"PC312",2.16889367013605,0.149856037706495,84.1206057218271
"PC313",2.16515814281567,0.149597937767948,84.2704617595336
"PC314",2.15339434163777,0.148785137833511,84.4200596973016
"PC315",2.15071716391247,0.148600162769185,84.5688448351351
"PC316",2.14252448357532,0.148034103385811,84.7174449979043
"PC317",2.13787248591505,0.147712681480078,84.8654791012901
"PC318",2.13162984863493,0.14728135702166,85.0131917827701
"PC319",2.1232135331834,0.146699845948517,85.1604731397918
"PC320",2.1203119465084,0.14649936572758,85.3071729857403
"PC321",2.11202535064954,0.145926817410167,85.4536723514679
"PC322",2.10895740326918,0.145714842777827,85.5995991688781
"PC323",2.09908545005669,0.145032756876974,85.7453140116559
"PC324",2.09597266967863,0.144817684584529,85.8903467685329
"PC325",2.08891368910411,0.144329956267687,86.0351644531174
"PC326",2.08418810590996,0.144003450094019,86.1794944093851
"PC327",2.0745539587081,0.143337794997031,86.3234978594791
"PC328",2.06719237225413,0.14282915863905,86.4668356544761
"PC329",2.05665089251432,0.142100812935836,86.6096648131152
"PC330",2.053559713864,0.141887233178213,86.751765626051
"PC331",2.04111120540977,0.141027124553251,86.8936528592292
"PC332",2.03680042054696,0.140729278168322,87.0346799837825
"PC333",2.03256642821393,0.140436737633282,87.1754092619508
"PC334",2.03091224894459,0.140322444916044,87.3158459995841
"PC335",2.02584806146176,0.139972543452072,87.4561684445001
"PC336",2.01763698630247,0.139405213109592,87.5961409879522
"PC337",2.01136891084694,0.138972131043494,87.7355462010618
"PC338",2.00468036135493,0.138509997035415,87.8745183321053
"PC339",1.99247898965121,0.137666963905999,88.0130283291407
"PC340",1.98631598564901,0.137241141574156,88.1506952930467
"PC341",1.98341083176836,0.137040414883181,88.2879364346209
"PC342",1.97381209908955,0.13637720669273,88.424976849504
